"access.table","access.attr","mariadb.table","mariadb.attr"
"acquisition_type","code","acquisitiontype","code"
"acquisition_type","description","acquisitiontype","description"
"flags","numsymbol","flags","numSymbol"
"flags","description","flags","description"
"flags","charsymbol","flags",NA
"flags",NA,"flags","characterSymbol"
"instrument","instrument_name","instrument","instrumentName"
"instrument","manufacturer","instrument","manufacturer"
"instrument","id","instrument",NA
"instrument","type","instrument",NA
"instrument","description","instrument",NA
"instrument",NA,"instrument","instrumentId"
"instrument",NA,"instrument","serialNumber"
"instrument",NA,"instrument","abbreviation"
"instrument",NA,"instrument","model"
"instrument",NA,"instrument","instrumentUncertainty"
"instrument",NA,"instrument","installationDatetime"
"instrument",NA,"instrument","deinstallationDatetime"
"instrument",NA,"instrument","height"
"instrument",NA,"instrument","instrumentPicture"
"instrument",NA,"instrument","installedAt"
"obs_element","abbreviation","obselement","abbreviation"
"obs_element","element_name","obselement","elementName"
"obs_element","description","obselement","description"
"obs_element","element_scale","obselement","elementScale"
"obs_element","upper_limit","obselement","upperLimit"
"obs_element","lower_limit","obselement","lowerLimit"
"obs_element","units","obselement","units"
"obs_element","element_type","obselement","elementtype"
"obs_element","code","obselement",NA
"obs_element","total","obselement",NA
"obs_element","selected","obselement",NA
"obs_element",NA,"obselement","elementId"
"obs_element",NA,"obselement","qcTotalRequired"
"paper_archive","belongs_to","paperarchive","belongsTo"
"paper_archive","image","paperarchive","image"
"paper_archive","code","paperarchive",NA
"paper_archive","yyyy","paperarchive",NA
"paper_archive","mm","paperarchive",NA
"paper_archive","dd","paperarchive",NA
"paper_archive",NA,"paperarchive","formDatetime"
"paper_archive",NA,"paperarchive","classifiedInto"
"paper_archive_definition","description","paperarchivedefinition","description"
"paper_archive_definition","code","paperarchivedefinition",NA
"paper_archive_definition",NA,"paperarchivedefinition","formId"
"qc_status_definition","description","qcstatusdefinition","description"
"qc_status_definition","qc_status","qcstatusdefinition",NA
"qc_status_definition",NA,"qcstatusdefinition","code"
"qc_type","code","qctype","code"
"qc_type","description","qctype","description"
"seq_day","day","seq_day",NA
"seq_day",NA,"seq_day","dd"
"seq_month","month","seq_month",NA
"seq_month",NA,"seq_month","mm"
"seq_year","year","seq_year",NA
"seq_year",NA,"seq_year","yyyy"
"station","station_name","station","stationName"
"station","country","station","country"
"station","authority","station","authority"
"station","id","station",NA
"station","qualifier","station",NA
"station","district","station",NA
"station",NA,"station","stationId"
"station",NA,"station","latitude"
"station",NA,"station","longitude"
"station",NA,"station","elevation"
"station",NA,"station","geoLocationMethod"
"station",NA,"station","geoLocationAccuracy"
"station",NA,"station","openingDatetime"
"station",NA,"station","closingDatetime"
"station",NA,"station","adminRegion"
"station",NA,"station","drainageBasin"
"station",NA,"station","wacaSelection"
"station",NA,"station","cptSelection"
"station",NA,"station","stationOperational"
"stationelement","recorded_from","stationelement","recordedFrom"
"stationelement","described_by","stationelement","describedBy"
"stationelement","recorded_with","stationelement","recordedWith"
"stationelement","scheduled_for","stationelement","scheduledFor"
"stationelement","height","stationelement","height"
"stationelement","begindate","stationelement","beginDate"
"stationelement","enddate","stationelement","endDate"
"stationid_alias","id_alias","stationidalias","idAlias"
"stationid_alias","refers_to","stationidalias","refersTo"
"stationid_alias","belongs_to","stationidalias","belongsTo"
"stationid_alias",NA,"stationidalias","idAliasBeginDate"
"stationid_alias",NA,"stationidalias","idAliasEndDate"
"observation","recorded_from","observationinitial","recordedFrom"
"observation","described_by","observationinitial","describedBy"
"observation","obs_value","observationinitial","obsValue"
"observation","flag","observationinitial","flag"
"observation","period","observationinitial","period"
"observation","qc_status","observationinitial","qcStatus"
"observation","qc_type_log","observationinitial","qcTypeLog"
"observation","acquisition_type","observationinitial","acquisitionType"
"observation","data_form","observationinitial","dataForm"
"observation","captured_by","observationinitial","capturedBy"
"observation","mark","observationinitial","mark"
"observation","recorded_at","observationinitial",NA
"observation","made_at","observationinitial",NA
"observation",NA,"observationinitial","obsDatetime"
"observation",NA,"observationinitial","obsLevel"
"observation",NA,"observationinitial","temperatureUnits"
"observation",NA,"observationinitial","precipitationUnits"
"observation",NA,"observationinitial","cloudHeightUnits"
"observation",NA,"observationinitial","visUnits"
"observation",NA,"observationinitial","dataSourceTimeZone"
"observation","recorded_from","observationfinal","recordedFrom"
"observation","described_by","observationfinal","describedBy"
"observation","obs_value","observationfinal","obsValue"
"observation","flag","observationfinal","flag"
"observation","period","observationfinal","period"
"observation","qc_status","observationfinal","qcStatus"
"observation","qc_type_log","observationfinal","qcTypeLog"
"observation","acquisition_type","observationfinal","acquisitionType"
"observation","data_form","observationfinal","dataForm"
"observation","captured_by","observationfinal","capturedBy"
"observation","mark","observationfinal","mark"
"observation","recorded_at","observationfinal",NA
"observation","made_at","observationfinal",NA
"observation",NA,"observationfinal","obsDatetime"
"observation",NA,"observationfinal","obsLevel"
"observation",NA,"observationfinal","temperatureUnits"
"observation",NA,"observationfinal","precipitationUnits"
"observation",NA,"observationfinal","cloudHeightUnits"
"observation",NA,"observationfinal","visUnits"
"observation",NA,"observationfinal","dataSourceTimeZone"
"station_location","longitude","stationlocationhistory","latitude"
"station_location","latitude","stationlocationhistory","longitude"
"station_location","elevation","stationlocationhistory","elevation"
"station_location","drainagebasin","stationlocationhistory","drainageBasin"
"station_location","occupied_by","stationlocationhistory",NA
"station_location","begin_datetime","stationlocationhistory",NA
"station_location","end_datetime","stationlocationhistory",NA
"station_location",NA,"stationlocationhistory","belongsTo"
"station_location",NA,"stationlocationhistory","stationType"
"station_location",NA,"stationlocationhistory","geoLocationMethod"
"station_location",NA,"stationlocationhistory","geoLocationAccuracy"
"station_location",NA,"stationlocationhistory","openingDatetime"
"station_location",NA,"stationlocationhistory","closingDatetime"
"station_location",NA,"stationlocationhistory","authority"
"station_location",NA,"stationlocationhistory","adminRegion"
